"Exports & Imports by NAICS Commodities"
"Current date: 02/06/2025 9:39 PM (Eastern Standard Time)"
"Country","Commodity","Time","Total Exports Value ($US)","Customs Import Value (Gen) ($US)",
"World Total","All Commodities","2023","2,018,059,284,224","3,080,170,295,122"
"World Total","111 Agricultural Products","2023","80,217,144,643","49,022,255,903"
"World Total","112 Livestock & Livestock Products","2023","2,021,523,249","13,409,196,734"
"World Total","113 Forestry Products, Nesoi","2023","1,975,650,670","2,501,682,324"
"World Total","114 Fish, Fresh/chilled/frozen & Other Marine Products","2023","5,089,146,296","12,543,888,294"
"World Total","115 Products Supporting Agriculture And Forestry","2023","307,019,446","108,569,504"
"World Total","211 Oil & Gas","2023","184,244,720,727","177,107,247,065"
"World Total","212 Minerals & Ores","2023","26,011,874,786","6,118,985,932"
"World Total","311 Food & Kindred Products","2023","81,267,639,486","106,123,503,974"
"World Total","312 Beverages & Tobacco Products","2023","9,440,054,045","30,951,976,323"
"World Total","313 Textiles & Fabrics","2023","8,438,806,139","8,723,118,132"
"World Total","314 Textile Mill Products","2023","3,192,823,764","22,306,478,053"
"World Total","315 Apparel & Accessories","2023","6,574,251,586","81,606,597,147"
"World Total","316 Leather & Allied Products","2023","3,680,177,906","38,598,607,981"
"World Total","321 Wood Products","2023","8,398,780,307","24,277,848,318"
"World Total","322 Paper","2023","24,971,703,112","24,476,896,130"
"World Total","323 Printed Matter And Related Products, Nesoi","2023","5,263,772,722","5,731,105,781"
"World Total","324 Petroleum & Coal Products","2023","128,607,663,919","72,325,246,810"
"World Total","325 Chemicals","2023","278,092,193,551","350,300,506,320"
"World Total","326 Plastics & Rubber Products","2023","40,194,296,384","72,558,946,198"
"World Total","327 Nonmetallic Mineral Products","2023","12,364,967,713","28,147,400,631"
"World Total","331 Primary Metal Mfg","2023","74,195,189,223","130,503,432,037"
"World Total","332 Fabricated Metal Products, Nesoi","2023","56,806,619,761","92,460,101,863"
"World Total","333 Machinery, Except Electrical","2023","165,972,388,501","240,650,996,304"
"World Total","334 Computer & Electronic Products","2023","230,688,454,155","482,296,023,966"
"World Total","335 Electrical Equipment, Appliances & Components","2023","71,122,167,667","179,230,887,204"
"World Total","336 Transportation Equipment","2023","294,899,219,825","477,030,095,440"
"World Total","337 Furniture & Fixtures","2023","5,108,039,405","42,051,694,888"
"World Total","339 Miscellaneous Manufactured Commodities","2023","92,719,373,944","157,315,596,984"
"World Total","910 Waste And Scrap","2023","26,460,419,640","7,658,360,849"
"World Total","930 Used Or Second-hand Merchandise","2023","23,996,871,774","16,436,940,378"
"World Total","980 Goods Returned (exports For Canada Only)","2023","94,142,637","98,132,158,718"
"World Total","990 Other Special Classification Provisions","2023","65,642,187,241","29,463,948,937"
"Afghanistan","All Commodities","2023","49,614,889","19,951,644"
"Afghanistan","111 Agricultural Products","2023","33,136,941","2,972,335"
"Afghanistan","115 Products Supporting Agriculture And Forestry","2023","","250,364"
"Afghanistan","311 Food & Kindred Products","2023","4,606,673","8,702,055"
"Afghanistan","312 Beverages & Tobacco Products","2023","","906,913"
"Afghanistan","313 Textiles & Fabrics","2023","47,071",""
"Afghanistan","314 Textile Mill Products","2023","30,007","4,656,611"
"Afghanistan","315 Apparel & Accessories","2023","7,010","116,270"
"Afghanistan","316 Leather & Allied Products","2023","5,244","5,558"
"Afghanistan","321 Wood Products","2023","188,125",""
"Afghanistan","322 Paper","2023","233,242","4,800"
"Afghanistan","323 Printed Matter And Related Products, Nesoi","2023","","8,150"
"Afghanistan","325 Chemicals","2023","1,464,341","106,820"
"Afghanistan","326 Plastics & Rubber Products","2023","464,626","28,105"
"Afghanistan","327 Nonmetallic Mineral Products","2023","","16,874"
"Afghanistan","331 Primary Metal Mfg","2023","20,123","24,696"
"Afghanistan","332 Fabricated Metal Products, Nesoi","2023","419,798","83,043"
"Afghanistan","333 Machinery, Except Electrical","2023","528,511","347,744"
"Afghanistan","334 Computer & Electronic Products","2023","4,318,634","8,769"
"Afghanistan","335 Electrical Equipment, Appliances & Components","2023","482,841","61,880"
"Afghanistan","336 Transportation Equipment","2023","1,333,580","47,460"
"Afghanistan","337 Furniture & Fixtures","2023","","79,585"
"Afghanistan","339 Miscellaneous Manufactured Commodities","2023","597,176","385,795"
"Afghanistan","910 Waste And Scrap","2023","173,000","2,860"
"Afghanistan","930 Used Or Second-hand Merchandise","2023","46,036","736,546"
"Afghanistan","980 Goods Returned (exports For Canada Only)","2023","","2,977"
"Afghanistan","990 Other Special Classification Provisions","2023","1,511,910","395,434"
"Albania","All Commodities","2023","139,204,064","77,394,808"
"Albania","111 Agricultural Products","2023","1,056,470","13,075,211"
"Albania","112 Livestock & Livestock Products","2023","","10,530"
"Albania","113 Forestry Products, Nesoi","2023","","216,991"
"Albania","114 Fish, Fresh/chilled/frozen & Other Marine Products","2023","1,124,949","84,158"
"Albania","115 Products Supporting Agriculture And Forestry","2023","35,941",""
"Albania","211 Oil & Gas","2023","1,382,935",""
"Albania","212 Minerals & Ores","2023","2,603,574","17,928"
"Albania","311 Food & Kindred Products","2023","15,416,759","5,580,535"
"Albania","312 Beverages & Tobacco Products","2023","1,235,354","790,385"
"Albania","313 Textiles & Fabrics","2023","16,627","8,899"
"Albania","314 Textile Mill Products","2023","239,947","167,067"
"Albania","315 Apparel & Accessories","2023","5,211","12,641,768"
"Albania","316 Leather & Allied Products","2023","18,650","7,506,712"
"Albania","321 Wood Products","2023","808,202","154,210"
"Albania","322 Paper","2023","1,308,924","2,827,717"
"Albania","323 Printed Matter And Related Products, Nesoi","2023","16,644","28,611"
"Albania","324 Petroleum & Coal Products","2023","6,077,707",""
"Albania","325 Chemicals","2023","6,460,483","11,314,564"
"Albania","326 Plastics & Rubber Products","2023","531,969","666,175"
"Albania","327 Nonmetallic Mineral Products","2023","686,372","1,148,493"
"Albania","331 Primary Metal Mfg","2023","303,541","3,139,576"
"Albania","332 Fabricated Metal Products, Nesoi","2023","2,997,986","4,890,306"
"Albania","333 Machinery, Except Electrical","2023","9,073,243","681,290"
"Albania","334 Computer & Electronic Products","2023","9,280,406","136,985"
"Albania","335 Electrical Equipment, Appliances & Components","2023","1,904,901","887,627"
"Albania","336 Transportation Equipment","2023","30,287,301","7,376,697"
"Albania","337 Furniture & Fixtures","2023","144,681","1,837,706"
"Albania","339 Miscellaneous Manufactured Commodities","2023","2,687,738","187,400"
"Albania","910 Waste And Scrap","2023","286,000",""
"Albania","930 Used Or Second-hand Merchandise","2023","40,830,302","465,412"
"Albania","980 Goods Returned (exports For Canada Only)","2023","","467,707"
"Albania","990 Other Special Classification Provisions","2023","2,381,247","1,084,148"
"Algeria","All Commodities","2023","1,200,644,420","3,029,088,250"
"Algeria","111 Agricultural Products","2023","332,056,709","9,140,853"
"Algeria","112 Livestock & Livestock Products","2023","2,067,088",""
"Algeria","113 Forestry Products, Nesoi","2023","1,374,373",""
"Algeria","114 Fish, Fresh/chilled/frozen & Other Marine Products","2023","62,625",""
"Algeria","211 Oil & Gas","2023","","501,868,742"
"Algeria","212 Minerals & Ores","2023","129,034",""
"Algeria","311 Food & Kindred Products","2023","29,419,744","227,342"
"Algeria","312 Beverages & Tobacco Products","2023","","126,010"
